rank,sample_index,class_id,selected_count_before_add,dynamic_k,old_mean_shift,new_mean_shift,dist_improve_raw,div_raw,sa_z,dds_z,div_z,dist_z,sa_component,dds_component,div_component,dist_component,total
1,49471,83,10,3,0.06351123750209808,0.05243149399757385,0.011079743504524231,1.4112648963928223,-1.5102779865264893,0.879484236240387,2.074800968170166,2.277873992919922,-0.40916919708251953,0.27002209424972534,0.8756773471832275,1.8222992420196533,2.5588295459747314
2,29197,83,10,3,0.06351123750209808,0.053977515548467636,0.009533721953630447,1.4100933074951172,-1.2845126390457153,1.4526926279067993,1.7120890617370605,1.6646003723144531,-0.34800416231155396,0.44601038098335266,0.7225934863090515,1.3316802978515625,2.152279853820801
3,12373,83,10,3,0.06351123750209808,0.053492020815610886,0.010019216686487198,1.410651445388794,-0.8821040391921997,0.2115582525730133,1.8848828077316284,1.8571857213974,-0.23898236453533173,0.06495329737663269,0.7955216765403748,1.4857486486434937,2.107241153717041
4,23426,83,10,3,0.06351123750209808,0.05324212461709976,0.010269112884998322,1.408046841621399,-0.840972900390625,0.9317154884338379,1.0785244703292847,1.956314206123352,-0.22783899307250977,0.28605830669403076,0.45519521832466125,1.5650514364242554,2.0784659385681152
5,49905,83,10,3,0.06351123750209808,0.05286426842212677,0.010646969079971313,1.4106218814849854,-0.6365681290626526,-0.8401056528091431,1.8757301568984985,2.106201648712158,-0.17246101796627045,-0.2579319477081299,0.7916587591171265,1.6849613189697266,2.046226978302002
6,34101,83,10,3,0.06351123750209808,0.053358931094408035,0.010152306407690048,1.409260869026184,-2.5118768215179443,1.855308175086975,1.4543747901916504,1.9099795818328857,-0.6805254817008972,0.5696226954460144,0.613824188709259,1.5279836654663086,2.03090500831604
7,47704,83,10,3,0.06351123750209808,0.053855329751968384,0.0096559077501297,1.4112015962600708,-1.582961916923523,0.6019832491874695,2.055203914642334,1.7130688428878784,-0.42886096239089966,0.18482284247875214,0.8674063682556152,1.3704551458358765,1.9938234090805054
8,17495,83,10,3,0.06351123750209808,0.05411353334784508,0.009397704154253006,1.4101958274841309,-1.7485816478729248,1.4291670322418213,1.7438281774520874,1.610645055770874,-0.4737311601638794,0.43878746032714844,0.7359890937805176,1.2885160446166992,1.9895614385604858
9,24061,83,10,3,0.06351123750209808,0.0535462461411953,0.009964991360902786,1.4080992937088013,-1.4292305707931519,1.2807879447937012,1.0947630405426025,1.8356757164001465,-0.3872115910053253,0.39323166012763977,0.46204873919487,1.4685405492782593,1.9366093873977661
10,16885,83,10,3,0.06351123750209808,0.05325925350189209,0.010251984000205994,1.4096744060516357,-1.41693913936615,0.2691585123538971,1.5824015140533447,1.9495196342468262,-0.3838815689086914,0.08263791352510452,0.667858362197876,1.5596157312393188,1.9262304306030273
11,1413,83,10,3,0.06351123750209808,0.05577705800533295,0.007734179496765137,1.4070956707000732,-0.7136141061782837,3.1049647331237793,0.784051775932312,0.9507603049278259,-0.19333454966545105,0.9532963037490845,0.33091193437576294,0.7606082558631897,1.8514819145202637
12,11283,83,10,3,0.06351123750209808,0.05430970713496208,0.009201530367136002,1.4097232818603516,-1.1454778909683228,0.828122079372406,1.5975329875946045,1.5328270196914673,-0.3103364408016205,0.25425270199775696,0.6742446422576904,1.2262616157531738,1.8444225788116455
13,14934,83,10,3,0.06351123750209808,0.054105669260025024,0.009405568242073059,1.4107393026351929,-1.0668874979019165,-0.02166324108839035,1.912082552909851,1.6137645244598389,-0.28904446959495544,-0.0066511183977127075,0.8070014715194702,1.2910116910934448,1.8023176193237305
14,26072,83,10,3,0.06351123750209808,0.05476506054401398,0.008746176958084106,1.4109916687011719,-0.569770097732544,0.05291334539651871,1.9902124404907227,1.3521981239318848,-0.15436388552188873,0.016245625913143158,0.83997642993927,1.0817584991455078,1.7836166620254517
15,38622,83,10,3,0.06351123750209808,0.05352189764380455,0.009989339858293533,1.4107551574707031,-0.9559727907180786,-0.8352081775665283,1.9169909954071045,1.8453342914581299,-0.2589951157569885,-0.2564283013343811,0.8090730905532837,1.4762674570083618,1.7699171304702759
